0,PH2,1,IMD058.bmp,8.96,91.55,11.94,10.02,12.93,97.47,34.93,2609.0,0.01,0.35,2.86,1.69,317.0,0.67,2.0,2.0,6.0,9.36,58.08,666.0,914.72,10.53,0,0,3.72,1.91
1,PH2,1,IMD061.bmp,17.25,84.62,8.59,36.18,61.51,98.16,29.98,3370.0,0.01,0.3,3.34,1.83,249.0,0.55,3.0,3.0,7.0,10.14,69.69,954.0,1141.27,12.53,1,1,1.43,10.81
2,PH2,1,IMD063.bmp,3.81,90.99,15.03,18.2,20.05,18.03,70.61,1656.0,0.01,0.71,1.42,1.19,228.0,0.95,4.0,3.0,6.0,9.68,60.94,604.0,604.38,8.23,0,0,1.8,0.37
3,PH2,1,IMD064.bmp,0.48,87.8,11.94,22.39,40.53,98.8,50.96,2790.0,0.01,0.51,1.96,1.4,168.0,0.65,3.0,3.0,5.0,9.14,61.08,956.0,942.93,9.27,0,1,4.08,0.97
4,PH2,1,IMD065.bmp,2.93,80.92,16.71,24.72,29.54,99.7,42.76,2588.0,0.01,0.43,2.34,1.53,297.0,0.67,1.0,2.0,6.0,9.37,60.12,792.0,916.61,7.47,0,0,5.14,13.96
5,PH2,1,IMD080.bmp,8.26,86.14,16.72,31.85,47.54,100.0,36.47,2984.0,0.01,0.36,2.74,1.66,286.0,0.6,2.0,3.0,6.0,9.27,58.35,840.0,1030.0,13.09,0,0,3.86,4.45
6,PH2,1,IMD085.bmp,26.12,80.7,23.26,30.8,43.98,100.0,15.9,3390.0,0.02,0.16,6.29,2.51,377.0,0.54,2.0,3.0,6.0,9.23,59.58,750.0,1168.99,4.93,0,1,1.36,3.3
7,PH2,1,IMD088.bmp,6.3,90.62,10.52,12.51,12.93,100.0,37.48,2052.0,0.01,0.38,2.67,1.63,283.0,0.79,3.0,3.0,6.0,9.81,62.7,576.0,749.16,7.33,0,0,2.61,0.19
8,PH2,1,IMD090.bmp,13.36,90.54,12.58,24.47,38.61,98.37,24.31,3538.0,0.01,0.24,4.11,2.03,396.0,0.52,3.0,2.0,6.0,9.5,61.1,876.0,1234.3,9.27,0,0,1.93,8.06
9,PH2,1,IMD091.bmp,1.24,97.52,3.94,5.27,11.16,99.58,76.32,1939.0,0.01,0.77,1.31,1.14,281.0,0.84,2.0,3.0,6.0,8.98,59.86,692.0,699.08,9.62,0,0,2.48,6.51
10,PH2,1,IMD168.bmp,2.65,94.6,14.97,13.23,18.16,12.76,66.68,1397.0,0.01,0.67,1.5,1.22,240.0,1.1,2.0,3.0,5.0,10.21,72.5,482.0,507.04,5.03,0,0,0.85,2.05
11,PH2,1,IMD211.bmp,2.88,93.68,8.92,9.64,25.55,6.59,77.13,1292.0,0.01,0.78,1.3,1.14,187.0,1.15,2.0,2.0,5.0,9.82,68.29,538.0,483.25,4.54,0,0,1.83,13.48
12,PH2,1,IMD219.bmp,5.92,92.83,14.21,25.65,35.64,100.0,30.74,3129.0,0.01,0.31,3.25,1.8,333.0,0.57,4.0,3.0,6.0,9.79,64.55,858.0,1092.37,12.24,0,1,1.9,1.99
13,PH2,1,IMD240.bmp,16.98,78.52,14.86,32.71,47.28,31.82,28.35,2509.0,0.02,0.28,3.53,1.88,315.0,0.68,2.0,2.0,5.0,9.14,59.94,754.0,897.92,8.09,0,0,2.55,29.1
14,PH2,1,IMD242.bmp,2.73,91.48,8.93,14.92,18.51,9.74,45.4,1618.0,0.01,0.46,2.2,1.48,244.0,0.97,3.0,2.0,6.0,9.55,65.2,474.0,593.08,5.56,0,1,3.71,0.74
15,PH2,1,IMD284.bmp,3.3,83.96,4.84,16.41,26.11,99.59,40.83,2816.0,0.01,0.41,2.45,1.56,330.0,0.63,3.0,4.0,6.0,9.07,58.89,804.0,976.26,11.44,1,1,1.12,0.59
16,PH2,1,IMD285.bmp,0.76,94.72,4.56,5.31,10.56,5.49,78.61,1560.0,0.01,0.79,1.27,1.13,263.0,0.99,2.0,2.0,4.0,9.39,62.11,578.0,572.24,6.6,0,0,0.09,0.0
17,PH2,1,IMD348.bmp,9.0,89.76,15.86,23.57,36.78,94.54,34.4,3285.0,0.01,0.34,2.91,1.7,242.0,0.56,2.0,3.0,6.0,9.27,58.48,956.0,1114.87,10.03,0,1,6.11,1.62
18,PH2,1,IMD349.bmp,4.08,90.9,11.04,13.3,15.67,95.9,39.07,2428.0,0.01,0.39,2.56,1.6,299.0,0.71,3.0,3.0,5.0,9.95,67.59,646.0,853.81,9.42,0,0,2.75,0.0
19,PH2,1,IMD403.bmp,11.54,85.75,14.69,13.91,13.3,100.0,36.5,2523.0,0.01,0.37,2.74,1.66,363.0,0.68,2.0,2.0,5.0,8.68,57.61,680.0,900.53,8.12,0,1,5.31,0.0
20,PH2,1,IMD404.bmp,19.86,85.61,22.74,31.85,47.89,99.81,16.87,3686.0,0.02,0.17,5.93,2.43,447.0,0.5,4.0,2.0,6.0,9.49,63.56,796.0,1290.9,5.83,0,0,3.38,0.57
21,PH2,1,IMD405.bmp,2.58,94.5,5.64,9.46,14.01,8.02,74.91,980.0,0.01,0.75,1.34,1.16,149.0,1.46,4.0,2.0,3.0,9.75,70.62,362.0,360.99,2.73,0,1,0.57,18.42
22,PH2,1,IMD406.bmp,2.88,92.41,9.32,13.88,17.2,10.94,62.01,1507.0,0.01,0.62,1.61,1.27,248.0,1.03,3.0,2.0,6.0,10.09,69.51,510.0,549.18,6.53,0,0,2.61,8.1
23,PH2,1,IMD407.bmp,7.68,80.28,12.86,21.14,26.97,17.1,47.13,1643.0,0.01,0.47,2.12,1.46,236.0,0.96,4.0,4.0,6.0,10.61,69.19,566.0,593.52,4.68,0,1,1.88,1.81
24,PH2,1,IMD408.bmp,1.32,99.21,6.39,14.23,25.44,14.29,53.67,2569.0,0.01,0.54,1.86,1.36,274.0,0.68,4.0,5.0,4.0,9.46,62.87,802.0,892.76,11.58,1,1,2.64,0.02
25,PH2,1,IMD409.bmp,0.59,95.88,16.59,21.65,22.88,21.65,34.78,2907.0,0.01,0.35,2.87,1.7,223.0,0.62,3.0,4.0,5.0,10.23,71.25,766.0,988.75,6.94,1,1,2.21,12.03
26,PH2,1,IMD410.bmp,14.75,82.04,6.4,26.7,26.78,100.0,22.17,3221.0,0.02,0.22,4.51,2.12,373.0,0.56,2.0,2.0,5.0,9.16,61.31,732.0,1112.16,10.22,0,1,0.47,2.51
27,PH2,1,IMD411.bmp,5.35,89.61,15.62,24.12,38.48,99.87,49.68,2154.0,0.01,0.5,2.01,1.42,278.0,0.79,2.0,3.0,4.0,7.2,54.4,672.0,743.65,6.71,0,1,4.99,0.15
28,PH2,1,IMD413.bmp,16.27,87.63,9.98,23.08,34.77,98.42,21.66,3789.0,0.01,0.22,4.62,2.15,447.0,0.49,1.0,3.0,5.0,8.46,58.41,880.0,1311.95,11.21,0,0,3.97,0.33
29,PH2,1,IMD417.bmp,13.7,91.63,7.52,18.17,23.52,99.83,17.22,4118.0,0.02,0.17,5.81,2.41,475.0,0.46,3.0,2.0,7.0,9.13,59.38,836.0,1429.73,8.18,0,1,1.17,4.94
30,PH2,1,IMD418.bmp,10.0,93.91,7.84,18.0,24.93,99.58,31.04,3104.0,0.01,0.31,3.22,1.79,251.0,0.58,3.0,3.0,6.0,9.44,64.71,790.0,1066.35,9.81,0,1,4.48,1.36
31,PH2,1,IMD419.bmp,2.89,86.46,7.06,15.44,26.9,15.44,55.21,2618.0,0.01,0.55,1.81,1.35,219.0,0.67,2.0,2.0,5.0,8.07,54.68,862.0,907.96,11.79,0,0,4.29,0.3
32,PH2,1,IMD420.bmp,3.61,92.6,6.8,19.41,20.5,19.5,48.94,1955.0,0.01,0.49,2.04,1.43,263.0,0.84,4.0,4.0,3.0,9.8,64.73,616.0,697.58,8.17,0,1,1.16,0.06
33,PH2,1,IMD421.bmp,5.86,90.4,7.42,21.24,32.33,21.24,35.24,2793.0,0.01,0.35,2.84,1.68,307.0,0.63,4.0,5.0,4.0,9.29,62.66,814.0,985.95,4.75,1,1,0.12,0.01
34,PH2,1,IMD423.bmp,2.66,82.45,7.26,17.83,34.89,100.0,71.46,2046.0,0.01,0.72,1.4,1.18,154.0,0.82,4.0,4.0,4.0,9.48,62.89,756.0,717.71,9.51,0,1,3.05,0.42
35,PH2,1,IMD424.bmp,6.14,90.48,8.92,19.88,17.64,16.93,30.36,1962.0,0.02,0.3,3.29,1.81,282.0,0.83,2.0,3.0,5.0,10.17,66.87,484.0,707.32,6.08,0,1,2.93,3.33
36,PH2,1,IMD425.bmp,2.77,91.38,4.32,13.2,18.8,100.0,52.73,1630.0,0.01,0.53,1.9,1.38,229.0,0.97,4.0,2.0,4.0,10.3,66.55,560.0,585.56,5.96,0,1,0.88,1.57
37,PH2,1,IMD426.bmp,10.59,90.72,8.15,28.96,31.47,100.0,32.26,2729.0,0.01,0.32,3.1,1.76,277.0,0.64,2.0,2.0,5.0,9.46,60.24,722.0,952.66,11.24,0,1,0.27,2.53
38,PH2,1,IMD429.bmp,1.66,91.76,5.3,7.46,16.47,7.7,75.72,1034.0,0.01,0.76,1.32,1.15,148.0,1.41,3.0,3.0,6.0,10.3,71.18,388.0,377.92,2.35,0,0,2.15,1.68
39,PH2,1,IMD435.bmp,17.6,84.59,7.69,27.78,28.04,100.0,21.7,3252.0,0.02,0.22,4.61,2.15,401.0,0.55,4.0,5.0,4.0,9.43,63.25,780.0,1151.17,7.23,0,1,0.8,0.8
40,PH2,0,IMD002.bmp,2.15,92.16,6.43,11.71,11.11,11.38,73.02,1297.0,0.01,0.73,1.37,1.17,204.0,1.17,3.0,2.0,4.0,9.83,67.82,468.0,472.31,4.04,0,0,2.65,0.0
41,PH2,0,IMD003.bmp,2.68,89.55,4.9,5.35,9.04,5.23,75.16,866.0,0.02,0.75,1.33,1.15,117.0,1.64,2.0,2.0,2.0,10.04,64.82,310.0,314.16,3.39,0,1,3.21,0.04
42,PH2,0,IMD004.bmp,2.04,94.27,6.06,8.4,8.37,8.42,77.12,1118.0,0.01,0.78,1.3,1.14,158.0,1.33,2.0,3.0,5.0,10.22,67.17,396.0,407.55,3.89,0,1,2.0,0.27
43,PH2,0,IMD006.bmp,5.19,80.82,8.09,13.12,13.75,12.94,47.96,1152.0,0.02,0.48,2.09,1.44,177.0,1.31,5.0,2.0,4.0,9.14,57.12,364.0,410.99,1.78,0,0,0.11,0.0
44,PH2,0,IMD008.bmp,4.37,97.07,5.48,10.94,11.54,10.76,63.3,871.0,0.02,0.64,1.58,1.26,132.0,1.63,3.0,2.0,2.0,9.55,61.77,288.0,315.09,1.54,0,1,0.96,0.0
45,PH2,0,IMD009.bmp,1.21,97.97,12.02,5.73,5.83,5.63,70.67,938.0,0.02,0.71,1.42,1.19,153.0,1.54,4.0,2.0,2.0,9.68,64.6,310.0,338.39,2.62,0,1,0.31,0.0
46,PH2,0,IMD010.bmp,1.35,95.41,3.52,5.64,8.24,5.47,83.05,871.0,0.02,0.84,1.2,1.1,151.0,1.64,3.0,0.0,2.0,7.26,46.87,314.0,312.98,1.98,0,1,0.07,0.0
47,PH2,0,IMD013.bmp,3.36,99.3,4.29,8.23,10.6,8.17,70.72,1132.0,0.01,0.71,1.41,1.19,170.0,1.29,4.0,2.0,4.0,9.19,56.01,400.0,420.71,7.87,0,0,0.0,0.0
48,PH2,0,IMD014.bmp,1.69,95.48,5.63,9.76,16.54,100.0,64.96,2059.0,0.01,0.65,1.54,1.24,310.0,0.81,2.0,1.0,3.0,9.43,56.68,676.0,724.36,11.85,0,0,0.05,0.0
49,PH2,0,IMD015.bmp,1.45,95.36,3.96,6.63,4.9,5.24,80.82,1207.0,0.01,0.81,1.24,1.11,166.0,1.24,1.0,1.0,2.0,10.01,60.54,464.0,441.82,5.37,0,1,3.02,28.06
